Device,Group,Module,Name,ID,Brunner_Name,Unit,Scale,Alternate_ID,Annotations,Certainty,State Class,Device Class,Postcall
BHZ3,Volumenstrom,Solar,,0x1c104000,T1,l/min,0.1,,,Unverifiziert,measurement,,
BHZ3,Volumenstrom,WW,,0x1c104001,T2,l/min,0.1,,,,measurement,,'                   if(v > 1.0 && id(BHZ3_Temperatur_WW_Zirkulation).state < 38.0) {
                    id(sw_zirkulation).state = true;
                    id(sw_zirkulation).publish_state(true);
                   }'
BHZ3,Volumenstrom,Festbrennofen,,0x1c104003,T5,l/min,0.1,,,,measurement,,
BHZ3,Volumenstrom,Zusatzheizung,,0x1c104004,T6,l/min,0.1,,,Unverifiziert,measurement,,
BHZ3,Druck,Puffer,,0x1c104005,T7,bar,0.1,,,,measurement,PRESSURE,
BHZ3,Volumenstrom,HK1,,0x1c104006,T8,l/min,0.1,,,,measurement,,
BHZ3,Volumenstrom,HK2,,0x1c104007,T9,l/min,0.1,,,Unverifiziert,measurement,,
BHZ3,Temperatur,HK1,VL,0x1c104009,S1,°C,0.1,,,,measurement,TEMPERATURE,
BHZ3,Temperatur,HK2,VL,0x1c10400a,S2,°C,0.1,,,,measurement,TEMPERATURE,
BHZ3,Temperatur,Puffer,Oben,0x1c10400b,S3,°C,0.1,,,,measurement,TEMPERATURE,
BHZ3,Temperatur,Puffer,Mitte,0x1c10400c,S4,°C,0.1,,,,measurement,TEMPERATURE,
BHZ3,Temperatur,Puffer,Unten,0x1c10400d,S5,°C,0.1,,,,measurement,TEMPERATURE,
BHZ3,Temperatur,WW,Zirkulation,0x1c104012,S10,°C,0.1,,,,measurement,TEMPERATURE,'                   if(v > 38.0) {
                    id(sw_zirkulation).state = false;
                    id(sw_zirkulation).publish_state(false);
                   }'
BHZ3,Temperatur,Wetter,,0x1c104013,S11,°C,0.1,,,,measurement,TEMPERATURE,
BHZ3,Temperatur,Zusatzheizung,VL,0x1c10401b,S19,°C,0.1,,,,measurement,TEMPERATURE,
BHZ3,Temperatur,Zusatzheizung,RL,0x1c10401c,S20,°C,0.1,,,,measurement,TEMPERATURE,
BHZ3,Temperatur,HK1,RL,0x1c10401e,S22,°C,0.1,,,,measurement,TEMPERATURE,
BHZ3,Temperatur,HK2,RL,0x1c10401f,S23,°C,0.1,,,,measurement,TEMPERATURE,
BHZ3,Temperatur,WW,Prim VL,0x1c104020,S24,°C,0.1,,,,measurement,TEMPERATURE,
BHZ3,Temperatur,WW,Prim RL,0x1c104021,S25,°C,0.1,,,,measurement,TEMPERATURE,
BHZ3,Temperatur,WW,Ist,0x1c104022,,°C,0.1,,,,measurement,TEMPERATURE,
BHZ3,Pumpe,WW,,0x1c106002,,,,,Werte im Bereich von 30 wenn Badewasser einläuft  sieht geregelt aus.,,measurement,,
BHZ3,Status,HK1,Ein Aus,0x1c106008,,,,,Ein=1,Aus=0,measurement,,
BHZ3,Status,HK1,Aus Ein,0x1c10600a,,,,,Aus=1,Ein=0,measurement,,
BHZ3,Status,Zusatzheizung,aktiv,0x1c106013,,,,0x1c106015,0,1,measurement,,
BHZ3,Status,Zusatzheizung,Aktiviert fuer,0x1c10a411,ZH1-17,,,,0 - 5,,measurement,,
BHZ3,Status,Zusatzheizung,Ein Aus,0x1c10a413,,,,,0,1,measurement,,
BHZ3,Status,WW,Zirkulationsprogramm,0x1c10c019,WW-25,,,,0 - 5,,measurement,,
BHZ3,Temperatur,WW,Soll,0x1c10c037,,°C,0.1,,,Unverifiziert,measurement,TEMPERATURE,
BHZ3,Volumenstrom,WW-Speicher,,0x1c112006,,l/min,0.1,0x1c11200b,,,measurement,,
BHZ3,Status,HK1,Absenkart,0x1c11200e,HK1-14,,,,0 - 4,,measurement,,
BHZ3,Status,HK1,Sommerbetrieb,0x1c112013,HK1-19,°C,0.1,,,,measurement,TEMPERATURE,
BHZ3,Status,HK1,Dauerbetrieb,0x1c11201e,HK1-30,h,,,Zählt runter,,measurement,DURATION,
BHZ3,Status,HK1,Abwesenheitszeit,0x1c11201f,HK1-31,d,,,Zählt runter,,measurement,DURATION,
BHZ3,Status,HK1,Programm,0x1c112022,HK1-34,,,,0 - 5,,measurement,,
BHZ3,Status,HK1,Waermer Kaelter,0x1c112024,HK1-36,°C,0.1,,,,measurement,TEMPERATURE,
BHZ3,Leistung,Zusatzheizung,,0x1c114006,,W,100,,,,measurement,POWER,
BHZ3,Gesamtleistung,Zusatzheizung,Heute,0x1c114009,,kWh,0.1,,,,total_increasing,ENERGY,
BHZ3,Gesamtleistung,Zusatzheizung,Gestern,0x1c11400a,,kWh,0.1,,,,total_increasing,ENERGY,
BHZ3,Gesamtleistung,Zusatzheizung,5 Tage ohne Heute,0x1c11400b,,kWh,0.1,,,,total_increasing,ENERGY,
BHZ3,Gesamtleistung,Zusatzheizung,Letzte 4 Wochen ohne Heute,0x1c11400c,,kWh,1,,,,total_increasing,ENERGY,
BHZ3,Leistung,HK1,,0x1c114406,,W,100,,,,measurement,POWER,
BHZ3,Gesamtleistung,HK1,Heute,0x1c114409,,kWh,0.1,,,,total_increasing,ENERGY,
BHZ3,Gesamtleistung,HK1,Gestern,0x1c11440a,,kWh,0.1,,,,total_increasing,ENERGY,
BHZ3,Gesamtleistung,HK1,5 Tage ohne Heute,0x1c11440b,,kWh,0.1,,,,total_increasing,ENERGY,
BHZ3,Gesamtleistung,HK1,Letzte 4 Wochen ohne Heute,0x1c11440c,,kWh,1,,,,total_increasing,ENERGY,
BHZ3,Leistung,WW,,0x1c114c06,,W,100,,,,measurement,POWER,
BHZ3,Gesamtleistung,WW,Heute,0x1c114c09,,kWh,0.1,,,,total_increasing,ENERGY,
BHZ3,Gesamtleistung,WW,Gestern,0x1c114c0a,,kWh,0.1,,,,total_increasing,ENERGY,
BHZ3,Gesamtleistung,WW,5 Tage ohne Heute,0x1c114c0b,,kWh,0.1,,,,total_increasing,ENERGY,
BHZ3,Gesamtleistung,WW,Letzte 4 Wochen ohne Heute,0x1c114c0c,,kWh,1,,,,total_increasing,ENERGY,
